ЉатегориЯ мест ; Џолное название ;Ђдрес;—асы работы;ђейтинг (звЮзды в Яндекс-картах);"Љоординаты (долгота и широта)
";‘сылка на официальный сайт;’ип
„лЯ культурных мест: музей/культурное пространство/парк-сад;;;;;;;
музей;Њузей ”аберже ;набережнаЯ реки ”онтанки, 21  ;10:00-20:45 ;5.0  ;59.934715, 30.343151  ;https://fabergemuseum.ru/;культура
музей;ѓранд Њакет ђоссиЯ;–веточнаЯ улица, 16‹  ;9:30-20:00 ;5.0  ;59.888044, 30.330793 ;https://grandmaket.ru/;культура
музей;Њузей специй ;Ѓольшой проспект ‚асильевского острова, 6 ;12:00-20:00 ;4.8;59.940625, 30.289430;https://spicemuseum.com/;культура
музей;ЗЏарк чудес ѓалилеоИ ;просп. ќнергетиков, д. 8, корп. 1 ;10:00-20:00 ;5.0 ;59.937275, 30.434775;https://spb.galileopark.ru/;культура
музей;Њузей советских игровых автоматов ;пл. ЉонюшеннаЯ, д. 2, лит. ‚ ;11:00-21:00 ;4.6;59.940084, 30.326905 ;https://15kop.ru/;культура
музей;Њузей оптикиК“ниверситета €’ЊЋ ;ЃиржеваЯ линиЯ, 14 ;пн-выходной, вт-пт 11:00-20:00, сб-вс 11:00-19:00;4.8;59.944217, 30.295486 ;https://optimus.itmo.ru/;культура
музей;Њетрологический музей ѓосстандарта ђоссии при ‚Ќ€€Њ имени „.€. Њенделеева ;Њосковский просп., 19† ;пн-пт 10:00-16:00, сб-вс выходной ;4.3;59.917502, 30.317584;https://museum.vniim.ru/index.html;культура
музей;Њузей искусства ‘анкт-Џетербурга XXРXXI веков ;наб. канала ѓрибоедова, 103 ;пн-выходной, ср 14:00-21:00, вт-вс 12:00-20:00 ;4.6;59.932546, 30.302112 ;https://mispxx-xxi.ru/;культура
музей;Њузей современного искусства ЗќрартаИ ;29-Я линиЯ ‚.Ћ., 2 ;вт-выходной, пн-вс 11:00-23:00;4.9;59.932206, 30.251440 ;https://www.erarta.com/;культура
музей;ђоссийский ѓосударственный Њузей Ђрктики и Ђнтарктики ;ул. Њарата, 24Ђ ;пн-вт-выходной ср-вс 10:00-18:00;4.8;59.927438, 30.353483 ;https://polarmuseum.ru/;культура
музей;ќкспозиционно-выставочный комплекс З‚селеннаЯ водыИ ;палернаЯ ул., 56… ;пн-вт- выходной ср-вс 10:00-17:30 ;4.7;59.949532, 30.376098 ;376098 https://www.vodokanal-museum.ru/booking2/;культура
музей;ѓосударственный музей истории ‘анкт-Џетербурга, Њузей-квартира Ђ.Ђ. Ѓлока ;ул. „екабристов, 57;пн-вс 11:00-18:00, ср- выходной, вт 11:00-17:00 ;4.5;59.923515, 30.282172 ;https://www.spbmuseum.ru/themuseum/museum_complex/blok_museum/?SHOWALL_1=1;культура
музей;Њузей теней ;ЃольшаЯ ЉонюшеннаЯ улица, 5 ;11:00-22:00 ;4.7;59.940532, 30.323434 ;https://shadowmuseum.ru/;культура
музей;ѓосударственный ќрмитаж ;„ворцоваЯ площадь, 2 ;пн-выходной, ср, чт, вс 11:00-18:00, вт, пт, сб 11:00-20:00 ;5.0 ;59.939864, 30.314566 ;https://hermitagemuseum.org/;культура
музей;ѓосударственный ђусский музей ;€нженернаЯ улица, 2-4„;вт-выходной, ср, вс 10:00-19:00, чт 10:00-18:00, пн, пт, сб 10:00 -20:00;5.0 ;59.938782, 30.332383 ;https://rusmuseum.ru/;культура
музей;Њузей обороны и блокады ‹енинграда ;‘олЯной пер., 9 ;пн-вс 10:00-18:00, вт-выходной ;4.9;59.944354, 30.340630 ;https://blokadamus.ru/;культура
музей;Џланетарий Ь1 ;набережнаЯ Ћбводного канала, 74– ;10:00-22:00 ;5.0 ;59.911482, 30.330944;https://www.planetarium.one/;культура
музей;Њузей Ђнны Ђхматовой в ”онтанном доме ;‹итейный просп., 53‚ ;пн, вт 10:30 Р 18:30, ср 12:00 Р 20:00, чт-вс 10:30-17:30 ;4.9;59.935955, 30.346791 ;https://www.akhmatova.spb.ru/;культура
музей;‘анкт-Џетербургский государственный музей театрального и музыкального искусства, Њузей-квартира Ќ. Ђ. ђимского-Љорсакова ;‡агородный проспект, 28 ;пн-пт выходной, сб-вс 11:00-18:00 ;4.5;59.925142, 30.340164 ;https://theatremuseum.ru/filial/memorialnyy_muzey_kvartira_rimskogo_korsakova?amp;культура
музей;ђоссийский этнографический музей ;€нженернаЯ улица, 4/1… ;пн выходной, вт 10:00-21:00, ср-вс 10:00-18:00 ;4.9;59.937882, 30.334382 ;https://ethnomuseum.ru/;культура
музей;ѓосударственный музей истории ‘анкт-Џетербурга, €сториЯ ‘анкт-Џетербурга Р Џетрограда ;территориЯ Џетропавловской крепости, 3 ;пн-вс 11:00-18:00, вт 11:00-17:00, ср выходной;4.7;59.949536, 30.316560 ;https://www.spbmuseum.ru/;культура
музей;Љрейсер ЗЂврораИ ;муниципальный округ Џосадский, Џетроградский район, ‘анкт-Џетербург;пн-вт выходной, ср-вс 11:00-18:00 ;5.0 ;59.955490, 30.337842 ;https://navalmuseum.ru/filials/cruiser_aurora?ysclid=mk7e9yebv0229528740;культура
музей;‹итературно-мемориальный музей ”. Њ. „остоевского ;Љузнечный пер.,5 ;вт-ср выходной, пн-вс11:00-18:00;4.9;59.927386, 30.350658 ;https://www.md.spb.ru/;культура
музей;‘анкт-Џетербургский музей хлеба ;ул. Њихайлова, 7 ;пн-вт выходной, ср-вс 10:00-18:00;4.7;59.953599, 30.360276 ;https://muzei-xleb.ru/;культура
музей;‚сероссийский музей Ђ.‘. Џушкина, Њузей-квартира Ђ.‘. Џушкина ;набережнаЯ реки Њойки, 12;пн,ср Р выходной, вт-вс 10:00-18:00 ;5.0 ;59.941162, 30.321302 ;https://www.museumpushkin.ru/vserossijskij_muzej_a._s._pushkina/muzej-kvartira_a.s.pushkina.html;культура
музей;ѓосударственный литературный музей •• век, Њузей-квартира Њ.Њ. ‡ощенко ;ЊалаЯ ЉонюшеннаЯ улица, 4/2 ;пн,ср Р выходной, вт-вс 10:30-18:00 ;4.5;59.937978, 30.326393 ;https://museum-xxvek.ru/;культура
музей;ѓосударственный мемориальный музей Ђ.‚. ‘уворова ;ЉирочнаЯ улица, 43 ;10:00-18:00 ;4.7;59.943277, 30.376575 ;https://suvorovmuseum.ru/;культура
музей;Ђничков дворец  ;Ќевский проспект, 39  ;не указано ;5.0 ;59.932993, 30.339825 ;https://anichkov.ru/page/museum/;культура
музей;Ѓотанический сад Џетра ‚еликого ;улица Џрофессора Џопова, 2Џ  ;11:00-16:30 ;4.8;59.970541, 30.323376 ;https://botsad-spb.com/;культура
музей;‘анкт-Џетербургский государственный музей театрального и музыкального искусства, ереметевский дворец - Њузей музыки ;набережнаЯ реки ”онтанки, 34  ;пн-вс 11:00-19:00, вт-выходной, ср-13:00-21:00 ;4.9;59.936488, 30.345480 ;https://theatremuseum.ru/filial/sheremetevskiy_dvorec_muzey_muzyki;культура
музей;. ћсуповский дворец на Њойке ;набережнаЯ реки Њойки, 94  ;10:00-19:30 ;5.0 ;59.929384, 30.298870 ;https://yusupov-palace.ru/ru;культура
музей;ѓосударственный ђусский музей, ‘трогановский дворец ;Ќевский проспект, 17  ;пн-вс 10:00-18:00, вт Р выходной ;4.8;59.935822, 30.320684 ;https://rusmuseum.ru/;культура
музей;ђусский музей, Њихайловский замок ;‘адоваЯ улица, 2   ;10:00-19:30 ;4.9;59.940735, 30.337600;https://rusmuseum.ru/museums/mikhailovsky-castle/;культура
музей;‚селеннаЯ воды ;палернаЯ улица ;пн-вт выходной, ср-вс 10:00-17:00 ;4.6;59.948758, 30.375177;https://www.vodokanal-museum.ru/booking2/;культура
музей;54-пушечный линейный корабль 4 ранга Џолтава ;просп. Љрузенштерна, 18, стр. 9 ;пн-вс 09:00-18:00, сб-вс выходной ;4.4;59.953715, 30.186692 ;https://54-pushechnyj-linejnyj-korabl.clients.site/;культура
музей;‚оенно-медицинский музей ;‚веденский канал, 6  ;пн,чт,пт 10:00-17:00, сб,вс 11:00-18:00, вт-выходной, ср 12:00-20:00;4.6;59.921401, 30.324876 ;https://milmed.spb.ru/;культура
музей;Њузей прикладного искусства ‘анкт-Џетербургской государственной художественно-промышленной академии имени Ђ. ‹. тиглица;‘олЯной переулок, 15;пн-выходной, вт-вс 11:00-17:30;5.0 ;59.942987, 30.340818  ;https://museum.ghpa.ru/;культура
музей;–ентральный военно-морской музей ;площадь ’руда, 5  ;пн-вс 10:00-18:00, вт Рвыходной;5.0 ;59.929536, 30.293567 ;https://navalmuseum.ru/?ysclid=mk7ese7434866344446;культура
музей;‚оенно-исторический музей артиллерии, инженерных войск и войск свЯзи ;Ђлександровский парк, 7  ;пн,вт Р выходной, ср-вс 11:00-18:00 ;5.0 ;59.954054, 30.313727 ;https://www.artillery-museum.ru/;культура
музей;Љунсткамера ;“ниверситетскаЯ набережнаЯ, 3 ;пн-выходной, вт-вс 10:00-18:00 ;4.3;59.941568, 30.303408 ;https://www.kunstkamera.ru/;культура
музей;Њир на ощупь ;‹иговский проспект, 87 ;10:00-22:00 ;5.0 ;59.924227, 30.356261 ;https://touch-world.ru/;культура
музей;‘анкт-Џетербургский ѓорный музей ;набережнаЯ ‹ейтенанта мидта, 45 ;не указан ;4.7;59.929147, 30.269542 ;https://museum.spmi.ru/;культура
музей;Њузей железных дорог ђоссии ;Ѓиблиотечный переулок, 4к2 ;10:00-18:00 ;5.0 ;59.905623, 30.297750;https://rzd-museum.ru/;культура
музей;ѓосударственный музей городской скульптуры, ЊастерскаЯ Њ.Љ. Ђникушина ;‚Яземский переулок, 8 ;пн-ср выходной, чт-вс 12:00-19:00 ;4.9;59.973237, 30.297026 ;https://gmgs.ru/sculptorstudio;культура
музей;Њузей эмоций ;€тальЯнскаЯ улица, 1 ;11:00-21:00;4.3;59.936797, 30.328210 ;https://museumofemotions.ru/;культура
